Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear
1,c,a,1270.0,9.0,2008.0,0,,
2,a,a,570.0,11.0,2007.0,1,13.0,2010.0
3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0
4,c,c,620.0,9.0,2009.0,0,,
5,a,a,29910.0,4.0,2015.0,0,,
6,a,a,310.0,12.0,2013.0,0,,
7,a,c,24000.0,4.0,2013.0,0,,
8,a,a,7520.0,10.0,2014.0,0,,
9,a,c,2030.0,8.0,2000.0,0,,
10,a,a,3160.0,9.0,2009.0,0,,
11,a,c,960.0,11.0,2011.0,1,1.0,2012.0
12,a,c,1070.0,,,1,13.0,2010.0
13,d,a,310.0,,,1,45.0,2009.0
14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0
15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0
16,a,c,3270.0,,,0,,
17,a,a,50.0,12.0,2005.0,1,26.0,2010.0
18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0
19,a,c,3240.0,,,1,22.0,2011.0
20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0
21,c,c,550.0,10.0,1999.0,1,45.0,2009.0
22,a,a,1040.0,,,1,22.0,2012.0
23,d,a,4060.0,8.0,2005.0,0,,
24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0
25,c,a,430.0,4.0,2003.0,0,,
26,d,a,2300.0,,,0,,
27,a,a,60.0,1.0,2005.0,1,5.0,2011.0
28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0
29,d,c,2170.0,,,0,,
30,a,a,40.0,2.0,2014.0,1,10.0,2014.0
31,d,c,9800.0,7.0,2012.0,0,,
32,a,a,2910.0,,,1,45.0,2009.0
33,a,c,1320.0,5.0,2013.0,0,,
34,c,a,2240.0,9.0,2009.0,0,,
35,d,c,7660.0,10.0,2000.0,1,1.0,2012.0
36,a,c,540.0,6.0,2003.0,1,40.0,2014.0
37,c,a,4230.0,12.0,2014.0,0,,
38,d,a,1090.0,4.0,2007.0,0,,
39,a,a,260.0,10.0,2006.0,1,31.0,2013.0
40,a,a,180.0,,,1,45.0,2009.0
41,d,c,1180.0,,,1,31.0,2013.0
42,a,c,290.0,,,1,40.0,2011.0
43,d,a,4880.0,,,1,37.0,2009.0
44,a,a,540.0,6.0,2011.0,0,,
45,d,a,9710.0,2.0,2014.0,0,,
46,c,a,1200.0,9.0,2005.0,1,14.0,2011.0
47,a,c,270.0,4.0,2013.0,1,14.0,2013.0
48,a,a,1060.0,5.0,2012.0,0,,
49,d,c,18010.0,9.0,2007.0,0,,
50,d,a,6260.0,11.0,2009.0,0,,
51,a,c,10570.0,7.0,2013.0,1,9.0,2011.0
52,d,c,450.0,4.0,2014.0,1,39.0,2010.0
53,a,c,30360.0,9.0,2013.0,0,,
54,d,c,7170.0,8.0,2014.0,1,5.0,2013.0
55,a,a,720.0,11.0,2004.0,0,,
56,d,c,6620.0,3.0,2012.0,1,10.0,2014.0
57,d,c,420.0,6.0,2014.0,0,,
58,a,c,7340.0,5.0,2008.0,1,27.0,2012.0
59,a,c,2840.0,6.0,2007.0,1,14.0,2011.0
60,d,c,5540.0,10.0,2009.0,0,,
61,a,c,350.0,12.0,2007.0,1,1.0,2012.0
62,a,a,2050.0,,,0,,
63,c,c,3700.0,6.0,2010.0,1,18.0,2010.0
64,d,c,22560.0,,,1,14.0,2013.0
65,a,c,13840.0,5.0,2010.0,1,1.0,2012.0
66,d,a,7660.0,,,1,37.0,2009.0
67,a,c,410.0,2.0,2006.0,0,,
68,a,c,250.0,,,1,35.0,2012.0
69,c,c,1130.0,,,1,40.0,2011.0
70,c,c,4840.0,,,0,,
71,a,a,17500.0,8.0,2008.0,1,37.0,2009.0
72,a,a,2200.0,12.0,2009.0,1,13.0,2010.0
73,a,c,1650.0,9.0,2008.0,0,,
74,a,a,330.0,,,0,,
75,d,c,22440.0,12.0,2013.0,0,,
76,d,c,19960.0,3.0,2006.0,0,,
77,d,c,1090.0,8.0,2009.0,1,10.0,2014.0
78,a,a,3510.0,11.0,2006.0,1,5.0,2013.0
79,a,a,3320.0,,,0,,
80,d,a,7910.0,,,0,,
81,a,a,2370.0,3.0,2011.0,1,40.0,2014.0
82,a,a,22390.0,4.0,2008.0,1,37.0,2009.0
83,a,a,2710.0,,,0,,
84,a,c,11810.0,8.0,2014.0,0,,
85,b,a,1870.0,10.0,2011.0,0,,
86,a,a,480.0,2.0,2005.0,1,31.0,2013.0
87,a,a,560.0,12.0,2010.0,0,,
88,a,a,10690.0,10.0,2005.0,0,,
89,a,a,2380.0,7.0,2004.0,1,40.0,2014.0
90,a,a,330.0,11.0,2007.0,0,,
91,c,a,2410.0,,,1,35.0,2011.0
92,c,a,240.0,,,1,45.0,2009.0
93,a,a,16690.0,,,1,14.0,2011.0
94,d,c,14620.0,,,0,,
95,a,a,1890.0,10.0,2014.0,0,,
96,a,a,8780.0,2.0,2005.0,1,37.0,2009.0
97,d,c,8980.0,,,0,,
98,d,c,15140.0,12.0,2006.0,1,1.0,2012.0
99,c,c,2030.0,11.0,2003.0,1,22.0,2012.0
100,d,a,17930.0,,,0,,
101,d,c,2440.0,,,1,22.0,2012.0
102,a,a,150.0,12.0,2007.0,1,10.0,2014.0
103,d,c,5210.0,5.0,2015.0,0,,
104,a,a,390.0,6.0,2009.0,0,,
105,a,c,6190.0,,,1,23.0,2013.0
106,a,a,1390.0,8.0,2013.0,0,,
107,a,a,1930.0,9.0,2009.0,0,,
108,d,c,2190.0,9.0,2003.0,0,,
109,a,c,3300.0,11.0,2010.0,0,,
110,a,c,46590.0,4.0,2013.0,0,,
111,d,c,7890.0,,,1,37.0,2009.0
112,a,a,1630.0,9.0,2009.0,0,,
113,d,c,20930.0,11.0,1999.0,0,,
114,c,a,4510.0,,,1,48.0,2011.0
115,d,c,5740.0,4.0,2007.0,1,40.0,2014.0
116,a,a,680.0,4.0,2013.0,0,,
117,a,a,3450.0,9.0,2011.0,0,,
118,d,c,3580.0,9.0,2012.0,0,,
119,a,c,2100.0,2.0,2010.0,0,,
120,d,a,2290.0,12.0,2014.0,1,37.0,2009.0
121,a,a,3570.0,11.0,2009.0,1,36.0,2013.0
122,a,c,58260.0,4.0,2013.0,0,,
123,a,a,16760.0,9.0,2011.0,0,,
124,a,a,1410.0,4.0,2003.0,0,,
125,a,a,760.0,12.0,2005.0,0,,
126,d,a,3370.0,10.0,2014.0,1,18.0,2011.0
127,d,a,1350.0,12.0,2005.0,1,13.0,2010.0
128,d,c,2000.0,,,1,1.0,2013.0
129,a,a,2460.0,,,1,14.0,2011.0
130,c,a,900.0,,,1,13.0,2010.0
131,c,a,920.0,7.0,2015.0,0,,
132,d,c,1040.0,,,1,27.0,2012.0
133,a,a,270.0,8.0,2013.0,1,10.0,2014.0
134,a,a,1200.0,9.0,2008.0,0,,
135,d,a,5190.0,,,1,1.0,2013.0
136,a,c,2200.0,12.0,2010.0,1,22.0,2012.0
137,a,a,1730.0,7.0,2015.0,1,40.0,2014.0
138,a,c,25360.0,10.0,2014.0,0,,
139,a,a,1700.0,1.0,2008.0,1,14.0,2011.0
140,a,c,1090.0,7.0,2010.0,1,1.0,2013.0
141,c,c,1540.0,,,1,22.0,2012.0
142,a,a,1090.0,7.0,2002.0,0,,
143,d,a,2930.0,12.0,2002.0,0,,
144,a,c,16570.0,,,0,,
145,a,a,280.0,,,1,45.0,2009.0
146,d,c,8050.0,10.0,1961.0,1,48.0,2012.0
147,d,c,8540.0,,,0,,
148,a,a,2090.0,12.0,2008.0,0,,
149,d,a,2610.0,7.0,2006.0,1,14.0,2011.0
150,c,c,31830.0,3.0,2010.0,0,,
151,d,c,4360.0,10.0,2005.0,0,,
152,a,a,1780.0,,,0,,
153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0
154,d,c,16420.0,,,0,,
155,d,a,3050.0,,,1,35.0,2010.0
156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0
157,a,c,2950.0,10.0,2004.0,0,,
158,d,c,11840.0,,,1,31.0,2009.0
159,d,a,8530.0,3.0,2013.0,0,,
160,d,c,17110.0,11.0,2005.0,0,,
161,a,c,2970.0,3.0,2005.0,0,,
162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0
163,a,a,1480.0,4.0,2009.0,0,,
164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0
165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0
166,a,c,100.0,4.0,2014.0,1,31.0,2013.0
167,a,a,140.0,4.0,2008.0,0,,
168,a,a,12540.0,,,0,,
169,d,a,980.0,7.0,2014.0,1,18.0,2014.0
170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0
171,a,a,2640.0,,,0,,
172,a,a,110.0,,,1,40.0,2014.0
173,a,a,350.0,12.0,2012.0,0,,
174,a,a,13090.0,,,1,22.0,2012.0
175,c,a,4130.0,,,0,,
176,a,a,3770.0,,,0,,
177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0
178,d,a,1710.0,,,0,,
179,a,c,480.0,,,0,,
180,d,a,5800.0,9.0,2010.0,0,,
181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0
182,d,c,1390.0,,,1,9.0,2011.0
183,a,a,9670.0,,,0,,
184,d,c,3560.0,,,0,,
185,d,c,1860.0,5.0,2015.0,0,,
186,a,a,290.0,10.0,2011.0,1,40.0,2014.0
187,a,c,19360.0,,,0,,
188,d,a,850.0,,,1,18.0,2011.0
189,d,a,5760.0,7.0,2014.0,0,,
190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0
191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0
192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0
193,a,a,520.0,,,0,,
194,d,c,16970.0,,,1,5.0,2013.0
195,a,c,220.0,,,0,,
196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0
197,c,a,4210.0,3.0,2015.0,0,,
198,a,a,290.0,9.0,2002.0,1,13.0,2010.0
199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0
200,a,a,1650.0,10.0,2000.0,0,,
201,d,a,20260.0,,,1,18.0,2014.0
202,d,c,5140.0,5.0,2010.0,0,,
203,c,c,490.0,11.0,2002.0,0,,
204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0
205,a,a,110.0,12.0,2007.0,0,,
206,a,c,380.0,,,1,14.0,2012.0
207,a,a,6870.0,,,0,,
208,c,a,300.0,4.0,2006.0,0,,
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0
210,d,a,970.0,11.0,1999.0,1,5.0,2013.0
211,a,c,350.0,11.0,2006.0,0,,
212,a,c,15050.0,9.0,2008.0,0,,
213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0
214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0
